CD,ST,District,State,Incumbent,Party,Clinton,Trump,Obama12,Romney,Obama08,McCain,GEOID,bvap,cvap,bvap_pct,black_pop,total_pop,black_pct,is_in_cbc
FL-11,FL,11,Florida,"Webster, Dan",(R),32.5,64.8,39.8,59.2,42.6,56.1,50000US1211,37125,596990,0.062186971,50415,727835,0.069267073,FALSE
FL-12,FL,12,Florida,"Bilirakis, Gus",(R),38.8,57.4,45.5,53.0,47.4,51.2,50000US1212,22005,562145,0.039144705,31780,729430,0.043568266,FALSE
FL-13,FL,13,Florida,"Crist, Charlie",(D),49.6,46.4,54.6,43.9,55.5,43.0,50000US1213,62190,555010,0.112052035,87275,711120,0.122728935,FALSE
FL-14,FL,14,Florida,"Castor, Kathy",(D),57.2,39.0,57.6,41.2,58.1,40.9,50000US1214,87335,512900,0.170276857,128725,739945,0.173965633,FALSE
FL-15,FL,15,Florida,"Ross, Dennis",(R),43.1,53.1,46.6,52.2,46.7,52.1,50000US1215,70130,532485,0.13170324,102785,745465,0.137880383,FALSE
FL-16,FL,16,Florida,"Buchanan, Vern",(R),43.0,53.7,45.1,53.7,47.7,51.2,50000US1216,42760,560555,0.076281542,63545,760540,0.083552476,FALSE
FL-17,FL,17,Florida,"Rooney, Tom",(R),35.0,62.2,41.3,57.6,43.9,54.7,50000US1217,38145,564130,0.067617393,54770,729130,0.07511692,FALSE
FL-18,FL,18,Florida,"Mast, Brian",(R),44.1,53.3,47.7,51.4,51.2,47.9,50000US1218,58415,547435,0.106706732,90570,730785,0.12393522,FALSE
FL-19,FL,19,Florida,"Rooney, Francis",(R),37.5,59.6,38.7,60.5,42.3,56.8,50000US1219,31765,560780,0.056644317,57220,757390,0.075548925,FALSE
FL-20,FL,20,Florida,"Hastings, Alcee",(D),80.2,18.1,82.5,17.1,80.9,18.6,50000US1220,235265,459945,0.511506811,395580,752660,0.525575957,TRUE
FL-21,FL,21,Florida,"Frankel, Lois",(D),58.6,39.1,60.4,38.9,63.4,35.9,50000US1221,59485,512725,0.116017358,112355,738760,0.152085928,FALSE
FL-22,FL,22,Florida,"Deutch, Ted",(D),56.8,41.0,56.3,43.0,58.3,41.0,50000US1222,59490,512670,0.116039558,107795,733500,0.146959782,FALSE
FL-23,FL,23,Florida,"Wasserman Schultz, Debbie",(D),61.9,35.8,61.4,38.0,62.0,37.3,50000US1223,62055,494965,0.125372501,97810,741075,0.131983942,FALSE
FL-24,FL,24,Florida,"Wilson, Frederica",(D),82.9,15.4,85.7,13.9,84.0,15.6,50000US1224,223910,443490,0.504881734,353380,734085,0.481388395,TRUE
FL-25,FL,25,Florida,"Diaz-Balart, Mario",(R),47.9,49.7,44.9,54.5,40.6,58.8,50000US1225,16145,414085,0.038989579,27820,744165,0.037384182,FALSE
FL-26,FL,26,Florida,"Curbelo, Carlos",(R),56.8,40.5,55.4,43.9,51.5,47.9,50000US1226,53765,457955,0.117402365,84515,761160,0.111034474,FALSE
FL-27,FL,27,Florida,"Ros-Lehtinen, Ileana",(R),58.5,38.9,53.0,46.3,50.1,49.3,50000US1227,21995,438255,0.050187676,30015,737825,0.040680378,FALSE
GA-01,GA,01,Georgia,"Carter, Buddy",(R),40.9,56.4,43.0,55.9,44.4,55.0,50000US1301,153425,527655,0.290767642,212110,723375,0.293222741,FALSE
GA-02,GA,02,Georgia,"Bishop, Sanford",(D),55.0,43.3,58.6,40.8,57.9,41.6,50000US1302,255430,504255,0.506549266,352525,685990,0.513892331,TRUE
GA-03,GA,03,Georgia,"Ferguson, Drew",(R),32.8,64.3,33.0,65.9,34.0,65.3,50000US1303,121050,518970,0.233250477,168575,714265,0.236011844,FALSE
GA-04,GA,04,Georgia,"Johnson, Hank",(D),75.3,22.2,73.6,25.6,73.2,26.3,50000US1304,294465,485240,0.606844036,429660,730840,0.587898856,TRUE
GA-05,GA,05,Georgia,"Lewis, John",(D),85.0,11.9,83.1,15.8,84.4,15.0,50000US1305,322110,543810,0.592320847,428530,736160,0.582115301,TRUE
GA-06,GA,06,Georgia,"Handel, Karen",(R),46.8,48.3,37.5,60.8,40.1,59.0,50000US1306,66980,469400,0.142692799,97975,731335,0.133967334,FALSE
GA-07,GA,07,Georgia,"Woodall, Rob",(R),44.8,51.1,38.3,60.2,39.1,60.1,50000US1307,92145,452545,0.20361511,145055,761510,0.190483382,FALSE
GA-08,GA,08,Georgia,"Scott, Austin",(R),34.4,63.3,37.5,61.6,37.8,61.6,50000US1308,154530,514725,0.300218563,211650,703465,0.300867847,FALSE
GA-09,GA,09,Georgia,"Collins, Doug",(R),19.3,77.8,20.5,78.1,24.3,74.7,50000US1309,35880,510760,0.070248257,49260,716775,0.068724495,FALSE
GA-10,GA,10,Georgia,"Hice, Jodi",(R),35.8,61.3,36.3,62.5,38.8,60.4,50000US1310,130760,529455,0.246970942,181845,720980,0.252219202,FALSE
GA-11,GA,11,Georgia,"Loudermilk, Barry",(R),35.3,60.3,31.5,66.9,34.7,64.3,50000US1311,80705,504200,0.16006545,116910,735545,0.158943369,FALSE
GA-12,GA,12,Georgia,"Allen, Rick",(R),40.7,56.9,43.6,55.4,43.9,55.6,50000US1312,179465,522900,0.343210939,246580,709370,0.347604212,FALSE
GA-13,GA,13,Georgia,"Scott, David",(D),71.0,26.6,69.2,30.0,67.1,32.3,50000US1313,283355,487680,0.581026493,416630,729460,0.571148521,TRUE
GA-14,GA,14,Georgia,"Graves, Tom",(R),22.1,75.0,25.3,73.2,27.8,71.0,50000US1314,42680,492210,0.086710957,60510,700245,0.086412613,FALSE
HI-01,HI,01,Hawaii,"Hanabusa, Colleen",(D),63.1,30.5,69.7,29.0,70.3,28.3,50000US1501,11005,501890,0.021927116,13770,707395,0.019465786,FALSE
HI-02,HI,02,Hawaii,"Gabbard, Tulsi",(D),61.4,29.6,71.4,26.7,73.4,24.9,50000US1502,7850,504835,0.015549635,10245,706275,0.014505681,FALSE
ID-01,ID,01,Idaho,"Labrador, Raul",(R),25.4,63.7,32.2,64.9,35.1,62.5,50000US1601,1960,599525,0.003269255,3410,833725,0.004090078,FALSE
ID-02,ID,02,Idaho,"Simpson, Mike",(R),29.8,54.5,33.1,64.1,37.1,60.5,50000US1602,3395,549370,0.006179806,6445,801755,0.008038615,FALSE
IL-01,IL,01,Illinois,"Rush, Bobby",(D),75.4,21.4,79.0,20.2,80.8,18.5,50000US1701,276850,521970,0.530394467,363885,710090,0.512449126,TRUE
IL-02,IL,02,Illinois,"Kelly, Robin",(D),78.0,19.1,80.7,18.5,81.1,18.2,50000US1702,287930,508975,0.565705585,394105,704140,0.559696935,TRUE
IL-03,IL,03,Illinois,"Lipinski, Dan",(D),55.2,39.9,55.9,42.6,58.3,40.4,50000US1703,25810,474230,0.054425068,34085,722175,0.047197701,FALSE
IL-04,IL,04,Illinois,"Gutierrez, Luis",(D),82.1,13.2,80.9,17.1,80.5,18.2,50000US1704,19705,364960,0.053992218,27575,702320,0.039262729,FALSE
IL-05,IL,05,Illinois,"Quigley, Mike",(D),70.5,23.9,66.0,31.8,69.9,28.8,50000US1705,15410,530135,0.029068068,19205,732035,0.026235084,FALSE
IL-06,IL,06,Illinois,"Roskam, Peter",(R),50.2,43.2,45.1,53.3,51.3,47.3,50000US1706,12105,511440,0.023668466,18010,724600,0.024855092,FALSE
IL-07,IL,07,Illinois,"Davis, Danny",(D),87.4,9.2,87.2,11.8,89.4,9.9,50000US1707,266930,518535,0.514777209,358235,728895,0.491476825,TRUE
IL-08,IL,08,Illinois,"Krishnamoorthi, Raja",(D),58.1,36.4,57.4,40.9,61.5,37.1,50000US1708,21650,442875,0.048885126,32620,716965,0.045497339,FALSE
IL-09,IL,09,Illinois,"Schakowsky, Jan",(D),70.1,24.9,65.0,33.3,68.6,30.3,50000US1709,43040,500830,0.085937344,63970,718765,0.088999882,FALSE
IL-10,IL,10,Illinois,"Schneider, Brad",(D),62.0,32.6,57.5,41.1,63.0,35.9,50000US1710,32970,456465,0.072228977,46950,713715,0.06578256,FALSE
IL-11,IL,11,Illinois,"Foster, Bill",(D),58.9,35.4,57.8,40.6,61.3,37.5,50000US1711,54875,460610,0.119135494,78715,722750,0.108910412,FALSE
IL-12,IL,12,Illinois,"Bost, Mike",(R),40.2,55.0,49.7,48.2,54.7,43.6,50000US1712,85060,537815,0.158158475,117515,703345,0.167080167,FALSE
IL-13,IL,13,Illinois,"Davis, Rodney",(R),44.2,49.7,48.6,48.9,54.6,43.6,50000US1713,54875,543100,0.101040324,79375,709735,0.111837517,FALSE
IL-14,IL,14,Illinois,"Hultgren, Randy",(R),44.8,48.7,44.2,54.2,50.7,48.0,50000US1714,15775,505470,0.031208578,22770,725480,0.031386117,FALSE
IL-15,IL,15,Illinois,"Shimkus, John",(R),24.5,70.7,34.1,63.9,42.8,55.4,50000US1715,22555,539210,0.041829714,29810,703110,0.042397349,FALSE
IL-16,IL,16,Illinois,"Kinzinger, Adam",(R),38.3,55.5,45.2,52.9,50.0,48.2,50000US1716,18615,524970,0.035459169,26145,700935,0.037300178,FALSE
IL-17,IL,17,Illinois,"Bustos, Cheri",(D),46.7,47.4,57.6,40.6,60.0,38.5,50000US1717,52705,520405,0.10127689,78720,698800,0.112650258,FALSE
IL-18,IL,18,Illinois,"LaHood, Darin",(R),33.3,60.6,37.4,60.7,44.1,54.4,50000US1718,19625,541480,0.036243259,26190,713835,0.036689151,FALSE
IN-01,IN,01,Indiana,"Visclosky, Pete",(D),54.1,41.5,61.2,37.4,63.3,35.8,50000US1801,97175,528740,0.183785982,135865,717040,0.189480364,FALSE
IN-02,IN,02,Indiana,"Walorski, Jackie",(R),36.1,59.3,42.1,56.1,49.6,49.3,50000US1802,32080,516955,0.062055692,48745,721460,0.067564383,FALSE
IN-03,IN,03,Indiana,"Banks, Jim",(R),30.1,65.1,35.7,62.5,43.0,56.0,50000US1803,29520,526585,0.056059326,43475,733725,0.059252445,FALSE
IN-04,IN,04,Indiana,"Rokita, Todd",(R),30.2,64.3,36.9,60.9,44.6,54.2,50000US1804,18635,543065,0.034314493,27305,741150,0.036841395,FALSE
IN-05,IN,05,Indiana,"Brooks, Susan",(R),41.3,53.1,40.7,57.5,46.6,52.6,50000US1805,44000,545740,0.080624473,60165,749285,0.080296549,FALSE
IN-06,IN,06,Indiana,"Messer, Luke",(R),27.4,67.7,37.3,60.4,43.6,55.0,50000US1806,12780,545480,0.023428907,17905,719080,0.024899872,FALSE
IN-07,IN,07,Indiana,"Carson, Andre",(D),59.0,36.2,62.9,35.4,66.3,32.8,50000US1807,149455,508400,0.293971282,220315,747290,0.294818611,TRUE
IN-08,IN,08,Indiana,"Bucshon, Larry",(R),30.9,64.6,39.6,58.4,48.1,50.6,50000US1808,21630,551310,0.039233825,28920,721950,0.040058176,FALSE
IN-09,IN,09,Indiana,"Hollingsworth, Trey",(R),34.2,61.1,40.7,57.2,46.2,52.7,50000US1809,14315,558280,0.025641255,20115,738600,0.027233956,FALSE
IA-01,IA,01,Iowa,"Blum, Rod",(R),45.2,48.7,56.2,42.5,58.5,40.4,50000US1901,16450,578335,0.028443722,27000,769895,0.035069717,FALSE
IA-02,IA,02,Iowa,"Loebsack, David",(D),45.0,49.1,55.8,42.7,57.1,41.6,50000US1902,18110,577685,0.031349265,30980,775700,0.03993812,FALSE
IA-03,IA,03,Iowa,"Young, David",(R),45.0,48.5,51.4,47.2,52.4,46.3,50000US1903,19065,574135,0.033206476,32060,801130,0.040018474,FALSE
IA-04,IA,04,Iowa,"King, Steve",(R),33.5,60.9,45.3,53.4,48.5,50.2,50000US1904,6915,564890,0.012241321,11175,759860,0.014706656,FALSE
KS-01,KS,01,Kansas,"Marshall, Roger",(R),24.3,69.3,27.6,70.1,31.0,67.2,50000US2001,14960,506790,0.02951913,20785,716380,0.029013931,FALSE
KS-02,KS,02,Kansas,"Jenkins, Lynn",(R),37.4,55.8,42.0,55.6,45.3,52.8,50000US2002,23360,535285,0.043640304,30920,714490,0.043275623,FALSE
KS-03,KS,03,Kansas,"Yoder, Kevin",(R),47.2,46.0,44.3,53.8,48.8,49.9,50000US2003,43460,510660,0.08510555,63260,746160,0.084780744,FALSE
KS-04,KS,04,Kansas,"Estes, Ron",(R),33.0,60.2,36.1,61.6,39.5,58.6,50000US2004,32915,509040,0.06466093,48785,721260,0.067638577,FALSE
KY-01,KY,01,Kentucky,"Comer, James",(R),23.9,72.4,32.1,66.4,36.9,61.6,50000US2101,37835,550435,0.068736545,50145,723570,0.06930221,FALSE
KY-02,KY,02,Kentucky,"Guthrie, Brett",(R),27.6,67.5,35.1,63.3,37.2,61.5,50000US2102,29865,556310,0.053684097,40085,743450,0.053917547,FALSE
KY-03,KY,03,Kentucky,"Yarmuth, John",(D),54.9,39.9,55.7,42.8,56.2,42.8,50000US2103,109565,546500,0.200484904,157325,739210,0.21282856,FALSE
KY-04,KY,04,Kentucky,"Massie, Thomas",(R),29.3,65.2,34.8,63.4,37.0,61.5,50000US2104,18315,550835,0.033249521,24545,743505,0.033012555,FALSE
KY-05,KY,05,Kentucky,"Rogers, Hal",(R),17.5,79.6,23.2,75.0,31.6,66.6,50000US2105,8225,550190,0.014949381,10175,711115,0.014308516,FALSE
KY-06,KY,06,Kentucky,"Barr, Andy",(R),39.4,54.7,42.2,55.8,44.8,53.7,50000US2106,47470,559535,0.084838303,65185,751140,0.086781426,FALSE
LA-01,LA,01,Louisiana,"Scalise, Steve",(R),26.7,68.7,26.9,70.9,25.3,72.7,50000US2201,73675,583600,0.126242289,104945,792295,0.132456976,FALSE
